	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
183	Bermuda	12711		129.0		12362.0		220.0		205454.0	2085.0	848492.0	13714554.0	61868.0	North America
184	Solomon Islands	12285		139.0		11057.0		1089.0	2.0	17136.0	194.0	5117.0	7138.0	716905.0	Australia/Oceania
185	Gambia	11990		365.0		11591.0		34.0		4725.0	144.0	155686.0	61350.0	2537653.0	Africa
186	Dominica	11986	5.0	63.0		11897.0	10.0	26.0		165770.0	871.0	187245.0	2589655.0	72305.0	North America
187	Greenland	11971		21.0		2761.0		9189.0	4.0	210217.0	369.0	164926.0	2896182.0	56946.0	North America
188	Yemen	11815	1.0	2147.0		9000.0		668.0	23.0	381.0	69.0	265253.0	8557.0	30996845.0	Asia
189	Monaco	11299	38.0	54.0		11018.0	28.0	227.0	4.0	284337.0	1359.0	54960.0	1383059.0	39738.0	Europe
190	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255409.0	1581.0	112382.0	2820692.0	39842.0	North America
191	Sint Maarten	9909	21.0	86.0		9740.0	6.0	83.0	10.0	226522.0	1966.0	62056.0	1418617.0	43744.0	North America
192	Eritrea	9733	1.0	103.0		9626.0	1.0	4.0		2678.0	28.0	23693.0	6520.0	3633938.0	Africa
193	Caribbean Netherlands	9346	5.0	34.0		8987.0		325.0		350589.0	1275.0	30126.0	1130092.0	26658.0	North America
194	Niger	8846		308.0		8488.0		50.0	1.0	343.0	12.0	244837.0	9502.0	25767619.0	Africa
195	Tonga	8761	202.0	11.0		6900.0	128.0	1850.0		81248.0	102.0	319471.0	2962701.0	107831.0	Australia/Oceania
196	Guinea-Bissau	8175		170.0		7280.0		725.0	6.0	3986.0	83.0	131390.0	64064.0	2050903.0	Africa
197	Comoros	8100		160.0		7933.0		7.0		8974.0	177.0			902620.0	Africa
198	Sierra Leone	7680	3.0	125.0						929.0	15.0	259958.0	31448.0	8266151.0	Africa
199	Antigua and Barbuda	7523		135.0		7367.0		21.0	1.0	75703.0	1358.0	18901.0	190199.0	99375.0	North America
200	Liberia	7402		294.0		5747.0		1361.0	2.0	1405.0	56.0	139824.0	26534.0	5269555.0	Africa
201	Chad	7378		192.0		4874.0		2312.0		427.0	11.0	191341.0	11082.0	17265762.0	Africa
202	St. Vincent Grenadines	6748		106.0		6640.0	1.0	2.0		60483.0	950.0	98708.0	884734.0	111568.0	North America
203	British Virgin Islands	6162		62.0					1.0	201438.0	2027.0	102294.0	3344034.0	30590.0	North America
204	Sao Tome and Principe	5948		73.0		5872.0		3.0		26270.0	322.0	29036.0	128243.0	226414.0	Africa
205	Turks and Caicos	5936	13.0	36.0		5862.0	3.0	38.0	4.0	149706.0	908.0	447713.0	11291342.0	39651.0	North America
206	Vanuatu	5565	29.0	6.0		4264.0		1295.0	4.0	17394.0	19.0	24976.0	78065.0	319937.0	Australia/Oceania
